"iter","model","nri_value","nri_ci","nri_p","idi_value","idi_ci","idi_p"
55,"train_clin","0.1053","-0.1361 - 0.3466","0.39261","0.1646","0.0662 - 0.263","0.00105"
55,"train_full","0.3195","0.0641 - 0.575","0.0142","0.1646","0.0662 - 0.263","0.00105"
56,"test_clin","-0.0417","-0.4178 - 0.3344","0.8281","0.2506","0.0256 - 0.4756","0.02902"
56,"test_full","0.375","0.0395 - 0.7105","0.02846","0.2506","0.0256 - 0.4756","0.02902"
56,"train_clin","0.2481","-0.0549 - 0.5512","0.10856","0.3391","0.2066 - 0.4715","0"
56,"train_full","0.4812","0.2032 - 0.7592","0.00069","0.3391","0.2066 - 0.4715","0"
57,"test_clin","0.0417","-0.3344 - 0.4178","0.8281","0.277","0.1071 - 0.4468","0.0014"
57,"test_full","0.3333","-0.0439 - 0.7105","0.08326","0.277","0.1071 - 0.4468","0.0014"
57,"train_clin","0.1767","-0.0998 - 0.4532","0.21036","0.316","0.1985 - 0.4336","0"
57,"train_full","0.406","0.1362 - 0.6758","0.00319","0.316","0.1985 - 0.4336","0"
58,"test_clin","-0.0417","-0.6374 - 0.554","0.89096","0.2898","0.0614 - 0.5183","0.01288"
58,"test_full","0.125","-0.3907 - 0.6407","0.63473","0.2898","0.0614 - 0.5183","0.01288"
58,"train_clin","0.3195","0.0641 - 0.575","0.0142","0.3374","0.2129 - 0.4618","0"
58,"train_full","0.391","0.117 - 0.6649","0.00515","0.3374","0.2129 - 0.4618","0"
59,"test_clin","0.1667","-0.1315 - 0.4649","0.27332","0.2269","0.0622 - 0.3915","0.00692"
59,"test_full","0.2083","-0.233 - 0.6497","0.35488","0.2269","0.0622 - 0.3915","0.00692"
59,"train_clin","0.1767","-0.1359 - 0.4893","0.26794","0.2565","0.1299 - 0.3831","7e-05"
59,"train_full","0.4286","0.1693 - 0.6878","0.00119","0.2565","0.1299 - 0.3831","7e-05"
6,"test_clin","0.0833","-0.5431 - 0.7097","0.79429","0.2133","-0.005 - 0.4317","0.05547"
6,"test_full","0.5417","0.0928 - 0.9905","0.01802","0.2133","-0.005 - 0.4317","0.05547"
6,"train_clin","0.2143","-7e-04 - 0.4292","0.0507","0.2719","0.1421 - 0.4018","4e-05"
6,"train_full","0.2857","0.0491 - 0.5224","0.01796","0.2719","0.1421 - 0.4018","4e-05"
60,"test_clin","0","0 - 0",NA,"0.2573","0.1697 - 0.345","0"
60,"test_full","0.4167","-0.0064 - 0.8397","0.05355","0.2573","0.1697 - 0.345","0"
60,"train_clin","0.2293","-0.061 - 0.5196","0.12157","0.3441","0.218 - 0.4702","0"
60,"train_full","0.6241","0.3461 - 0.9021","1e-05","0.3441","0.218 - 0.4702","0"
61,"test_clin","0.125","-0.3907 - 0.6407","0.63473","0.3595","0.1041 - 0.6148","0.0058"
61,"test_full","0.3333","-0.0439 - 0.7105","0.08326","0.3595","0.1041 - 0.6148","0.0058"
61,"train_clin","0.2481","-0.0549 - 0.5512","0.10856","0.4136","0.283 - 0.5442","0"
61,"train_full","0.5338","0.2402 - 0.8275","0.00037","0.4136","0.283 - 0.5442","0"
62,"test_clin","-0.1667","-0.4649 - 0.1315","0.27332","0.1184","-0.0363 - 0.273","0.13349"
62,"test_full","0.5417","0.0928 - 0.9905","0.01802","0.1184","-0.0363 - 0.273","0.13349"
62,"train_clin","0.1955","-0.1273 - 0.5182","0.23516","0.3443","0.2062 - 0.4825","0"
62,"train_full","0.4286","0.1693 - 0.6878","0.00119","0.3443","0.2062 - 0.4825","0"
63,"test_clin","-0.125","-0.7463 - 0.4963","0.69333","0.1662","-0.0753 - 0.4077","0.17735"
63,"test_full","0.5417","0.1003 - 0.983","0.01615","0.1662","-0.0753 - 0.4077","0.17735"
63,"train_clin","0.1955","-0.0924 - 0.4834","0.18322","0.343","0.2145 - 0.4715","0"
63,"train_full","0.4098","0.1394 - 0.6801","0.00297","0.343","0.2145 - 0.4715","0"
64,"test_clin","-0.1667","-0.4649 - 0.1315","0.27332","0.0659","-0.1723 - 0.304","0.58775"
