"iter","model","nri_value","nri_ci","nri_p","idi_value","idi_ci","idi_p"
65,"test_full","0.2308","-0.0822 - 0.5437","0.14834","0.0796","-0.0966 - 0.2558","0.37603"
65,"train_clin","0.3286","0.0912 - 0.5659","0.00666","0.3873","0.2982 - 0.4765","0"
65,"train_full","0.7143","0.5211 - 0.9075","0","0.3873","0.2982 - 0.4765","0"
66,"test_clin","-0.0684","-0.5191 - 0.3824","0.76622","0.1319","-0.0479 - 0.3117","0.15038"
66,"test_full","0.4017","-0.0334 - 0.8368","0.07037","0.1319","-0.0479 - 0.3117","0.15038"
66,"train_clin","0.3952","0.1555 - 0.635","0.00123","0.3231","0.2276 - 0.4186","0"
66,"train_full","0.4429","0.2014 - 0.6843","0.00032","0.3231","0.2276 - 0.4186","0"
67,"test_clin","0.3077","-0.0216 - 0.637","0.06701","0.1884","0.0567 - 0.3201","0.00505"
67,"test_full","0.547","0.1326 - 0.9614","0.00967","0.1884","0.0567 - 0.3201","0.00505"
67,"train_clin","0.219","-0.0922 - 0.5303","0.16776","0.2953","0.2078 - 0.3828","0"
67,"train_full","0.4429","0.2014 - 0.6843","0.00032","0.2953","0.2078 - 0.3828","0"
68,"test_clin","0.1026","-0.2812 - 0.4864","0.60044","0.1459","-0.0706 - 0.3623","0.18651"
68,"test_full","0.2137","-0.1836 - 0.611","0.29183","0.1459","-0.0706 - 0.3623","0.18651"
68,"train_clin","0.4286","0.1976 - 0.6595","0.00028","0.4167","0.3157 - 0.5177","0"
68,"train_full","0.5905","0.3412 - 0.8397","0","0.4167","0.3157 - 0.5177","0"
69,"test_clin","0","0 - 0",NA,"0.1998","0.1004 - 0.2992","8e-05"
69,"test_full","0.9487","0.5428 - 1.3547","0","0.1998","0.1004 - 0.2992","8e-05"
69,"train_clin","0.3143","0.0367 - 0.5919","0.02649","0.2029","0.1268 - 0.2791","0"
69,"train_full","0.5286","0.2134 - 0.8438","0.00101","0.2029","0.1268 - 0.2791","0"
7,"test_clin","0.0427","-0.3124 - 0.3978","0.81352","0.1573","-0.0044 - 0.3189","0.05654"
7,"test_full","0.5043","0.1695 - 0.8391","0.00316","0.1573","-0.0044 - 0.3189","0.05654"
7,"train_clin","0.4238","0.1507 - 0.6969","0.00235","0.3831","0.2948 - 0.4713","0"
7,"train_full","0.6619","0.3707 - 0.9531","1e-05","0.3831","0.2948 - 0.4713","0"
