,Metabolite,edf,p_smooth,AIC_smooth,AIC_linear,Estimate_age,StdErr_age,p_age,original_name,suitble1,suitble2,suitble for lm
meta130,meta130,1.435340145,0.528398182,148.2614983,147.8325616,0.010092538,0.011830515,0.397375591,Niacinamide,1,1,1
meta131,meta131,1.360233862,0.466520664,148.1415324,147.7025792,0.011990257,0.011816793,0.314783563,Taurine,1,1,1
meta132,meta132,1.000091356,0.855601854,131.0470781,131.046748,0.001864797,0.010183908,0.855395874,Pyroglutamic acid,1,1,1
meta133,meta133,1.000124602,0.35910072,139.0763633,139.0759702,0.010121215,0.010940794,0.359035053,Pipecolic acid,1,1,1
meta134,meta134,1.000082076,0.471476901,143.2530512,143.2527297,0.008236433,0.011356507,0.471423178,N-Acetylputrescine,1,1,1
meta135,meta135,1.000109409,0.713314551,191.437572,191.4372729,0.006452399,0.017461701,0.713187423,Creatine,1,1,1
meta136,meta136,1.00006395,0.615321391,136.5571828,136.5569367,0.00540757,0.010697467,0.615264844,4-Hydroxyproline,1,1,1
meta137,meta137,1.00004106,0.332039794,145.9687774,145.9686331,0.01138917,0.011635258,0.332019316,5-Aminolevulinic acid,1,1,1
meta138,meta138,1.000081066,0.371041549,133.4342709,133.4340701,0.009385063,0.010403312,0.370998099,Isoleucine,1,1,1
meta139,meta139,1.000355818,0.255740866,145.7028533,145.7020531,0.013337914,0.011607597,0.25559232,Leucine,1,1,1
meta140,meta140,1.000068844,0.255215989,130.726343,130.7261235,0.011678624,0.010154796,0.255187015,Ornithine,1,1,1
meta141,meta141,1.00006244,0.318898705,130.5556183,130.5554252,0.010200889,0.010139331,0.318868379,Asparagine,1,1,1
meta142,meta142,1.000352019,0.196163949,158.692748,158.6919163,0.017064322,0.013035035,0.196039845,Homocysteine,1,1,1
meta143,meta143,1.799840961,0.447709304,160.1727503,160.1335789,0.008756939,0.013203906,0.510018568,N-Methylnicotinamide,,1,1
meta144,meta144,1.416663158,0.019965642,184.1452308,183.7373461,0.045140618,0.016301557,0.007687982,Tyramine,1,1,1
meta145,meta145,1.000086654,0.19728129,134.6899685,134.6897011,0.013734864,0.0105206,0.197250516,4-Acetamidobutanoic acid,1,1,1
meta146,meta146,1.000126626,0.041477193,229.898174,229.8976869,0.051416416,0.024616244,0.041461596,Spermidine,1,1,1
meta147,meta147,1.000158222,0.55350035,160.4202295,160.419822,-0.007895381,0.013237695,0.553379085,Glutamine,1,1,1
meta148,meta148,1.000024954,0.320714263,130.7629893,130.7629224,0.010180795,0.010158133,0.320702132,Lysine,1,1,1
meta149,meta149,1.000095151,0.418557935,132.0649084,132.0646595,0.008378387,0.010276887,0.418501967,Glutamate,1,1,1
meta150,meta150,1.430649312,0.526300446,141.2681627,140.8569827,0.009275769,0.011116164,0.407709601,Methionine,1,1,1
meta151,meta151,1.000063295,0.485163304,163.5902122,163.5900394,0.009572278,0.013617748,0.485120971,Histidine,1,1,1
meta152,meta152,1.000047437,0.767156956,206.8884411,206.8882527,0.005966909,0.020044708,0.767089662,Tryptamine,1,1,1
meta153,meta153,1.000023235,0.369175124,129.1978974,129.1978287,0.009071704,0.01001717,0.369162564,Carnitine,1,1,1
meta154,meta154,1.000060681,0.291069713,129.6899087,129.689744,0.010728106,0.010061264,0.291042125,Phenylalanine,1,1,1
meta155,meta155,1.000096652,0.826558939,157.9291575,157.9288389,0.002853649,0.012946527,0.826376777,1-Methyl-histidine,1,1,1
meta156,meta156,1.000498422,0.259175208,149.2536286,149.2526286,0.013669083,0.011981471,0.258966032,Arginine,1,1,1
meta157,meta157,1.258576769,0.667650475,158.9055051,158.5561535,0.008140356,0.013019244,0.53443679,Indoleacetic acid,1,1,1
meta158,meta158,1.000119728,0.036768809,196.8248046,196.8243618,0.039238436,0.018322118,0.036755397,Glucosamine,1,1,1
meta159,meta159,1.000076682,0.966169669,146.2455648,146.2452872,0.000507874,0.011664034,0.965430198,Tyrosine,1,1,1
meta160,meta160,1.000063473,0.272858529,129.7841341,129.7839347,0.011155893,0.010069729,0.272830723,N8-Acetylspermidine,1,1,1
meta161,meta161,1.000232661,0.565352245,142.5800272,142.579483,0.006533097,0.011288446,0.56516957,Acetylcarnitine,1,1,1
meta162,meta162,1.000030984,0.443880552,130.763719,130.7636332,0.007835533,0.010158198,0.443861402,Tryptophan,1,1,1
meta163,meta163,1.000098201,0.29119755,138.0109613,138.0106167,0.011552818,0.010837217,0.291152503,Indolelactic acid,1,1,1
meta164,meta164,1.000129335,0.284488862,129.3256728,129.3253213,0.010842497,0.01002858,0.28443087,Kynurenine,1,1,1
meta165,meta165,1.000054935,0.830225872,224.1356808,224.1354719,-0.005040869,0.023381806,0.830120071,3-Hydroxy-kynurenin,1,1,1
meta166,meta166,1.000053974,0.215832997,211.3144548,211.3142513,0.026116402,0.020852691,0.215812619,Melatonin,1,1,1
meta167,meta167,1.000097707,0.417659327,132.3804203,132.3801194,0.008418382,0.010305873,0.417601774,Cystine,1,1,1
meta168,meta168,1.000172061,0.607648049,133.8467779,133.8463148,0.005394857,0.010441675,0.607499054,Cytidine,1,1,1
meta169,meta169,1.000126817,0.156656995,208.7367407,208.7362554,0.029274061,0.020378189,0.156617702,N1-Acetylspermine,1,1,1
meta170,meta170,1.000058756,0.476518783,125.5902342,125.5900192,0.006954384,0.009699633,0.476480014,Uridine,1,1,1
meta171,meta171,1.000436164,0.795547717,190.0429871,190.0420697,0.004506422,0.017245527,0.794847834,Adenosine,1,1,1
meta172,meta172,1.000105644,0.517730337,174.4053032,174.4049151,0.009767449,0.014998277,0.517654732,Inosine,1,1,1
meta173,meta173,1.000107836,0.961603991,197.0195419,197.0191336,-0.000908939,0.018354009,0.960685503,6-Methyladenosine,1,1,1
meta174,meta174,1.00011643,0.768209232,244.6760395,244.6756779,0.008326033,0.028088293,0.768043698,Guanosine monophosphate,1,1,1
