,Metabolite,edf,p_smooth,AIC_smooth,AIC_linear,Estimate_age,StdErr_age,p_age,original_name,suitble1,suitble2,suitble for lm
meta132,meta132,1.000133934,0.462431572,278.45867,278.4581537,0.008835148,0.011973076,0.462345784,Pyroglutamic acid,1,1,1
meta133,meta133,1.000110118,0.171485556,255.1145219,255.1141006,0.014661369,0.010641497,0.171449498,Pipecolic acid,1,1,1
meta134,meta134,1.000092504,0.365835385,264.6760195,264.6756769,0.010147817,0.011167994,0.365786092,N-Acetylputrescine,1,1,1
meta135,meta135,1.000074588,0.161642689,254.2741414,254.2738488,0.014945248,0.010596433,0.161619323,Creatine,1,1,1
meta136,meta136,1.000092216,0.329210283,328.7699899,328.769642,0.015139437,0.015436871,0.329164599,4-Hydroxyproline,1,1,1
meta137,meta137,1.000092663,0.574624752,256.3492102,256.3488592,0.006031537,0.010708066,0.574550509,5-Aminolevulinic acid,1,1,1
meta138,meta138,1.000092416,0.236422005,237.1555863,237.1552545,0.011579415,0.009718778,0.236385039,Isoleucine,1,1,1
meta139,meta139,1.000089972,0.253387826,336.2834448,336.283102,0.018424178,0.016033906,0.253350142,Leucine,1,1,1
meta140,meta140,1.000093231,0.148236787,239.103364,239.103036,0.014305124,0.009814857,0.148209161,Ornithine,1,1,1
meta141,meta141,1.000095717,0.309509472,230.5964218,230.5960871,0.009606129,0.009402098,0.309464012,Asparagine,1,1,1
meta142,meta142,1.00007566,0.070770779,254.0462928,254.046015,0.019338664,0.010584247,0.070757063,Homocysteine,1,1,1
meta143,meta143,1.000168168,0.25500211,328.6292315,328.6285912,0.017666193,0.015425878,0.254931272,N-Methylnicotinamide,1,1,1
meta144,meta144,1.000100039,0.092646851,311.3082971,311.3079287,0.024005791,0.01413379,0.092625047,Tyramine,1,1,1
meta145,meta145,1.000092347,0.191676069,227.4091341,227.4087833,0.012165403,0.009251959,0.191643651,4-Acetamidobutanoic acid,1,1,1
meta146,meta146,1.000094903,0.285851444,404.7008973,404.7006489,0.024311927,0.022652015,0.285808853,Spermidine,1,1,1
meta147,meta147,1.000101317,0.269252214,226.7586627,226.7583046,0.010247505,0.009221614,0.269208251,Glutamine,1,1,1
meta148,meta148,1.00009229,0.449985533,284.8126733,284.812322,0.009379054,0.012363545,0.449927871,Lysine,1,1,1
meta149,meta149,1.00009095,0.131172217,238.14877,238.1484582,0.014870863,0.009767652,0.131147244,Glutamate,1,1,1
meta150,meta150,1.000092772,0.274146876,236.0872267,236.0868825,0.01063198,0.009666479,0.274106038,Methionine,1,1,1
meta151,meta151,1.000123764,0.904812655,271.2256512,271.2252293,0.001390178,0.011543592,0.904392763,Histidine,1,1,1
meta152,meta152,1.000083677,0.035609892,375.2692569,375.2689293,0.041607804,0.019523205,0.035600561,Tryptamine,1,1,1
